Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Soil nutrient budget","7","Angola","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","5.4934","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","85186.2155","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","16.3348","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","18116.67","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","3.474","Fc","Calculated data"
"ESB","Soil nutrient budget","8","Antigua and Barbuda","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","8.59","Fb","Data obtained as a balance"
"ESB","Soil nutrient budget","8","Antigua and Barbuda","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","1.718","Fc","Calculated data"
"ESB","Soil nutrient budget","8","Antigua and Barbuda","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","216.5994","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","8","Antigua and Barbuda","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","43.3199","Fc","Calculated data"
"ESB","Soil nutrient budget","8","Antigua and Barbuda","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","21.6015","Fc","Calculated data"
"ESB","Soil nutrient budget","8","Antigua and Barbuda","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","4.3203","Fc","Calculated data"
"ESB","Soil nutrient budget","8","Antigua and Barbuda","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","25.1382","Fc","Calculated data"
"ESB","Soil nutrient budget","8","Antigua and Barbuda","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","5.0276","Fc","Calculated data"
"ESB","Soil nutrient budget","9","Argentina","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","1160519.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","9","Argentina","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","28.8199","Fc","Calculated data"
"ESB","Soil nutrient budget","9","Argentina","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","189138.9825","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","9","Argentina","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","4.697","Fc","Calculated data"
"ESB","Soil nutrient budget","9","Argentina","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","237043.32","Fc","Calculated data"
"ESB","Soil nutrient budget","9","Argentina","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","5.8866","Fc","Calculated data"
"ESB","Soil nutrient budget","9","Argentina","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","3390673.0054","Fc","Calculated data"
"ESB","Soil nutrient budget","9","Argentina","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","84.2027","Fc","Calculated data"
"ESB","Soil nutrient budget","9","Argentina","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","3100994.23","Fc","Calculated data"
"ESB","Soil nutrient budget","1","Armenia","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","90106.3","Fm","Manual Estimation"
"ESB","Soil nutrient budget","1","Armenia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","178.5344","Fc","Calculated data"
"ESB","Soil nutrient budget","1","Armenia","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","4335.0349","A","Aggregate, may include official, semi-official, estimated or calculated data"
