Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","19","Bolivia (Plurinational State of)","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","7786.488","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25.711","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6.452","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","19.25","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","209469.323","X","International reliable sources",""
"OA","Annual population","21","Brazil","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","102996.239","X","International reliable sources",""
"OA","Annual population","21","Brazil","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","106473.081","X","International reliable sources",""
"OA","Annual population","21","Brazil","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","28321.495","X","International reliable sources",""
"OA","Annual population","21","Brazil","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","182546.459","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","239","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","29.802","X","International reliable sources",""
"OA","Annual population","239","British Virgin Islands","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","16.582","X","International reliable sources",""
"OA","Annual population","239","British Virgin Islands","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","15.137","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","33","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37074.562","X","International reliable sources",""
"OA","Annual population","33","Canada","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","18392.121","X","International reliable sources",""
"OA","Annual population","33","Canada","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","18682.437","X","International reliable sources",""
"OA","Annual population","33","Canada","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6869.269","X","International reliable sources",""
"OA","Annual population","33","Canada","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","30084.496","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","36","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","64.174","X","International reliable sources",""
"OA","Annual population","36","Cayman Islands","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","0","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","36","Cayman Islands","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","62.348","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
