Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","CHA","Channel Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","170.499","X","International reliable sources",""
"OA","Annual population","CHL","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","18729.16","X","International reliable sources",""
"OA","Annual population","CHN","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1459377.612","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"OA","Annual population","HKG","China, Hong Kong SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","7371.73","X","International reliable sources",""
"OA","Annual population","MAC","China, Macao SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","631.636","X","International reliable sources",""
"OA","Annual population","F41","China, mainland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1427647.786","X","International reliable sources",""
"OA","Annual population","TWN","China, Taiwan Province of","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","23726.46","X","International reliable sources",""
"OA","Annual population","COL","Colombia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","49661.048","X","International reliable sources",""
"OA","Annual population","COM","Comoros","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","832.322","X","International reliable sources",""
"OA","Annual population","COG","Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","5244.359","X","International reliable sources",""
"OA","Annual population","COK","Cook Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17.518","X","International reliable sources",""
"OA","Annual population","CRI","Costa Rica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4999.441","X","International reliable sources",""
"OA","Annual population","CIV","Côte d'Ivoire","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25069.23","X","International reliable sources",""
"OA","Annual population","HRV","Croatia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4156.405","X","International reliable sources",""
"OA","Annual population","CUB","Cuba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11338.134","X","International reliable sources",""
"OA","Annual population","CUW","Curaçao","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","162.752","X","International reliable sources",""
"OA","Annual population","CYP","Cyprus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1189.265","X","International reliable sources",""
"OA","Annual population","CZE","Czechia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","10665.677","X","International reliable sources",""
"OA","Annual population","PRK","Democratic People's Republic of Korea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25549.604","X","International reliable sources",""
"OA","Annual population","COD","Democratic Republic of the Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","84068.091","X","International reliable sources",""
"OA","Annual population","DNK","Denmark","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","5752.126","X","International reliable sources",""
"OA","Annual population","DJI","Djibouti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","958.923","X","International reliable sources",""
"OA","Annual population","DMA","Dominica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","71.625","X","International reliable sources",""
"OA","Annual population","DOM","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","10627.141","X","International reliable sources",""
"OA","Annual population","ECU","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17084.358","X","International reliable sources",""
